H	K	L	2THETA	D-VALUE	MULT	INTENSITY
3	0	0	6.10	14.4978	2	1.2
4	0	0	8.13	10.8734	2	0.5
0	1	0	9.56	9.2510	2	5.7
1	1	0	9.77	9.0486	2	4.6
1	-1	0	9.77	9.0486	2	4.6
5	0	0	10.17	8.6987	2	0.6
2	1	0	10.39	8.5128	2	4.8
2	-1	0	10.39	8.5128	2	4.8
3	1	0	11.35	7.7986	2	4.4
3	-1	0	11.35	7.7986	2	4.4
0	0	1	12.19	7.2611	2	1000.0
6	0	0	12.21	7.2489	2	0.4
1	0	-1	12.31	7.1889	2	123.7
1	0	1	12.40	7.1353	2	143.0
4	1	0	12.56	7.0459	2	4.3
4	-1	0	12.56	7.0459	2	4.3
2	0	-1	12.76	6.9355	2	18.5
2	0	1	12.94	6.8401	2	13.6
3	0	-1	13.51	6.5530	2	31.7
3	0	1	13.76	6.4333	2	40.6
5	-1	0	13.97	6.3372	2	5.6
5	1	0	13.97	6.3372	2	5.6
7	0	0	14.25	6.2134	2	0.4
4	0	-1	14.51	6.1037	2	3.7
4	0	1	14.83	5.9752	2	3.7
0	1	-1	15.51	5.7118	2	1.7
0	1	1	15.51	5.7118	2	1.7
6	-1	0	15.53	5.7059	2	5.1
6	1	0	15.53	5.7059	2	5.1
1	1	-1	15.61	5.6765	2	1.2
1	-1	-1	15.61	5.6765	2	1.2
1	-1	1	15.68	5.6500	2	1.8
1	1	1	15.68	5.6500	2	1.8
5	0	-1	15.72	5.6385	2	5.5
2	1	-1	15.97	5.5492	2	2.0
2	-1	-1	15.97	5.5492	2	2.0
5	0	1	16.08	5.5122	2	8.5
2	1	1	16.11	5.5000	2	1.4
2	-1	1	16.11	5.5000	2	1.4
8	0	0	16.30	5.4367	2	0.5
3	1	-1	16.58	5.3474	2	0.8
3	-1	-1	16.58	5.3474	2	0.8
3	-1	1	16.79	5.2817	2	2.9
3	1	1	16.79	5.2817	2	2.9
6	0	-1	17.08	5.1902	2	1.6
7	1	0	17.19	5.1579	2	27.2
7	-1	0	17.19	5.1579	2	27.2
4	1	-1	17.41	5.0947	2	3.0
4	-1	-1	17.41	5.0947	2	3.0
6	0	1	17.48	5.0720	2	1.8
4	1	1	17.67	5.0193	2	1.3
4	-1	1	17.67	5.0193	2	1.3
9	0	0	18.36	4.8326	2	0.3
5	1	-1	18.43	4.8147	2	0.3
5	-1	-1	18.43	4.8147	2	0.3
7	0	-1	18.58	4.7755	2	1.6
5	-1	1	18.74	4.7353	2	4.9
5	1	1	18.74	4.7353	2	4.9
8	1	0	18.93	4.6872	2	88.9
