H	K	L	2THETA	D-VALUE	MULT	INTENSITY
0	0	1	6.06	14.5924	2	1000.0
0	0	2	12.13	7.2962	2	31.9
0	0	3	18.24	4.8641	2	7.0
0	2	0	19.32	4.5950	2	2.6
1	-1	0	19.49	4.5550	2	3.2
1	1	0	19.49	4.5550	2	3.2
1	-1	-1	20.06	4.4272	2	2.4
1	1	-1	20.06	4.4272	2	2.4
0	2	1	20.26	4.3828	2	3.0
0	2	-1	20.26	4.3828	2	3.0
1	-1	1	20.79	4.2731	2	3.6
1	1	1	20.79	4.2731	2	3.6
1	1	-2	22.36	3.9766	2	1.6
1	-1	-2	22.36	3.9766	2	1.6
0	2	2	22.87	3.8882	2	2.5
0	2	-2	22.87	3.8882	2	2.5
1	1	2	23.66	3.7601	2	3.0
1	-1	2	23.66	3.7601	2	3.0
0	0	4	24.40	3.6481	2	13.3
1	1	-3	25.95	3.4331	2	1.1
1	-1	-3	25.95	3.4331	2	1.1
0	2	-3	26.69	3.3402	2	1.0
0	2	3	26.69	3.3402	2	1.0
1	-1	3	27.65	3.2261	2	1.8
1	1	3	27.65	3.2261	2	1.8
1	1	-4	30.42	2.9381	2	1.0
1	-1	-4	30.42	2.9381	2	1.0
0	0	5	30.63	2.9185	2	5.1
0	2	-4	31.31	2.8571	2	0.2
0	2	4	31.31	2.8571	2	0.2
1	1	4	32.38	2.7647	2	0.7
1	-1	4	32.38	2.7647	2	0.7
1	3	0	33.89	2.6452	2	0.2
1	-3	0	33.89	2.6452	2	0.2
2	0	0	34.19	2.6222	2	1.2
1	-3	-1	34.23	2.6194	2	0.6
1	3	-1	34.23	2.6194	2	0.6
2	0	-1	34.31	2.6137	2	3.4
1	3	1	34.68	2.5864	2	2.0
1	-3	1	34.68	2.5864	2	2.0
2	0	1	35.20	2.5493	2	0.5
1	1	-5	35.48	2.5299	2	0.7
1	-1	-5	35.48	2.5299	2	0.7
2	0	-2	35.54	2.5260	2	5.6
1	-3	-2	35.68	2.5161	2	0.9
1	3	-2	35.68	2.5161	2	0.9
0	2	5	36.47	2.4636	2	0.4
0	2	-5	36.47	2.4636	2	0.4
1	-3	2	36.55	2.4585	2	4.9
1	3	2	36.55	2.4585	2	4.9
0	0	6	36.96	2.4321	2	1.5
2	0	2	37.26	2.4133	2	0.4
1	-1	5	37.62	2.3907	2	0.1
1	1	5	37.62	2.3907	2	0.1
2	0	-3	37.79	2.3806	2	4.7
1	3	-3	38.13	2.3599	2	0.4
1	-3	-3	38.13	2.3599	2	0.4
0	4	0	39.21	2.2975	2	0.1
1	3	3	39.36	2.2893	2	5.0
1	-3	3	39.36	2.2893	2	5.0
2	-2	0	39.57	2.2775	2	0.2
2	2	0	39.57	2.2775	2	0.2
2	-2	-1	39.67	2.2719	2	0.4
2	2	-1	39.67	2.2719	2	0.4
0	4	1	39.71	2.2695	2	0.0
0	4	-1	39.71	2.2695	2	0.0
2	0	3	40.22	2.2420	2	0.1
2	-2	1	40.46	2.2292	2	0.0
2	2	1	40.46	2.2292	2	0.0
2	-2	-2	40.76	2.2136	2	0.1
2	2	-2	40.76	2.2136	2	0.1
2	0	-4	40.92	2.2055	2	2.1
1	1	-6	40.96	2.2031	2	0.2
1	-1	-6	40.96	2.2031	2	0.2
