H	K	L	2THETA	D-VALUE	MULT	INTENSITY
0	0	2	12.51	7.0740	2	1000.0
1	-1	0	18.65	4.7571	2	31.6
1	0	0	18.65	4.7571	2	31.6
0	1	0	18.65	4.7571	2	31.6
1	-1	1	19.69	4.5090	2	31.2
1	-1	-1	19.69	4.5090	2	31.2
0	1	-1	19.69	4.5090	2	31.2
1	0	-1	19.69	4.5090	2	31.2
1	0	1	19.69	4.5090	2	31.2
0	1	1	19.69	4.5090	2	31.2
0	1	-2	22.52	3.9475	2	19.0
1	-1	2	22.52	3.9475	2	19.0
1	0	-2	22.52	3.9475	2	19.0
1	-1	-2	22.52	3.9475	2	19.0
0	1	2	22.52	3.9475	2	19.0
1	0	2	22.52	3.9475	2	19.0
0	0	4	25.18	3.5370	2	579.4
1	-1	3	26.62	3.3491	2	12.2
1	-1	-3	26.62	3.3491	2	12.2
0	1	-3	26.62	3.3491	2	12.2
1	0	-3	26.62	3.3491	2	12.2
1	0	3	26.62	3.3491	2	12.2
0	1	3	26.62	3.3491	2	12.2
1	0	-4	31.52	2.8384	2	6.8
0	1	-4	31.52	2.8384	2	6.8
1	-1	4	31.52	2.8384	2	6.8
1	-1	-4	31.52	2.8384	2	6.8
0	1	4	31.52	2.8384	2	6.8
1	0	4	31.52	2.8384	2	6.8
2	-1	0	32.60	2.7465	2	0.1
1	-2	0	32.60	2.7465	2	0.1
1	1	0	32.60	2.7465	2	0.1
1	-2	-1	33.23	2.6962	2	72.9
2	-1	1	33.23	2.6962	2	72.9
1	-2	1	33.23	2.6962	2	72.9
2	-1	-1	33.23	2.6962	2	72.9
1	1	-1	33.23	2.6962	2	72.9
1	1	1	33.23	2.6962	2	72.9
1	-2	2	35.05	2.5603	2	100.8
2	-1	-2	35.05	2.5603	2	100.8
1	-2	-2	35.05	2.5603	2	100.8
1	1	-2	35.05	2.5603	2	100.8
2	-1	2	35.05	2.5603	2	100.8
1	1	2	35.05	2.5603	2	100.8
1	-1	5	36.96	2.4319	2	4.2
0	1	-5	36.96	2.4319	2	4.2
1	0	-5	36.96	2.4319	2	4.2
1	-1	-5	36.96	2.4319	2	4.2
0	1	5	36.96	2.4319	2	4.2
1	0	5	36.96	2.4319	2	4.2
2	-2	0	37.82	2.3785	2	0.3
2	0	0	37.82	2.3785	2	0.3
0	2	0	37.82	2.3785	2	0.3
2	-1	-3	37.91	2.3734	2	61.9
1	-2	-3	37.91	2.3734	2	61.9
1	-2	3	37.91	2.3734	2	61.9
2	-1	3	37.91	2.3734	2	61.9
1	1	3	37.91	2.3734	2	61.9
1	1	-3	37.91	2.3734	2	61.9
0	0	6	38.17	2.3580	2	41.6
2	-2	1	38.37	2.3456	2	0.2
2	-2	-1	38.37	2.3456	2	0.2
0	2	1	38.37	2.3456	2	0.2
0	2	-1	38.37	2.3456	2	0.2
2	0	-1	38.37	2.3456	2	0.2
2	0	1	38.37	2.3456	2	0.2
2	-2	-2	39.99	2.2545	2	0.6
2	-2	2	39.99	2.2545	2	0.6
0	2	-2	39.99	2.2545	2	0.6
2	0	-2	39.99	2.2545	2	0.6
2	0	2	39.99	2.2545	2	0.6
0	2	2	39.99	2.2545	2	0.6
2	-1	-4	41.63	2.1693	2	21.7
1	-2	4	41.63	2.1693	2	21.7
1	1	-4	41.63	2.1693	2	21.7
1	-2	-4	41.63	2.1693	2	21.7
2	-1	4	41.63	2.1693	2	21.7
1	1	4	41.63	2.1693	2	21.7
2	0	-3	42.57	2.1237	2	1.1
0	2	-3	42.57	2.1237	2	1.1
2	-2	3	42.57	2.1237	2	1.1
2	-2	-3	42.57	2.1237	2	1.1
0	2	3	42.57	2.1237	2	1.1
2	0	3	42.57	2.1237	2	1.1
0	1	-6	42.80	2.1127	2	2.2
1	-1	6	42.80	2.1127	2	2.2
1	0	-6	42.80	2.1127	2	2.2
1	-1	-6	42.80	2.1127	2	2.2
1	0	6	42.80	2.1127	2	2.2
0	1	6	42.80	2.1127	2	2.2
2	0	-4	45.98	1.9738	2	1.3
2	-2	-4	45.98	1.9738	2	1.3
2	-2	4	45.98	1.9738	2	1.3
0	2	-4	45.98	1.9738	2	1.3
0	2	4	45.98	1.9738	2	1.3
2	0	4	45.98	1.9738	2	1.3
1	-2	5	46.05	1.9708	2	68.3
2	-1	-5	46.05	1.9708	2	68.3
1	1	-5	46.05	1.9708	2	68.3
2	-1	5	46.05	1.9708	2	68.3
1	-2	-5	46.05	1.9708	2	68.3
1	1	5	46.05	1.9708	2	68.3
1	0	-7	48.97	1.8602	2	1.2
0	1	-7	48.97	1.8602	2	1.2
1	-1	7	48.97	1.8602	2	1.2
0	1	7	48.97	1.8602	2	1.2
1	0	7	48.97	1.8602	2	1.2
1	-1	-7	48.97	1.8602	2	1.2
2	-2	5	50.10	1.8207	2	1.3
2	-2	-5	50.10	1.8207	2	1.3
0	2	-5	50.10	1.8207	2	1.3
2	0	-5	50.10	1.8207	2	1.3
2	0	5	50.10	1.8207	2	1.3
0	2	5	50.10	1.8207	2	1.3
3	-2	0	50.78	1.7980	2	3.4
2	-3	0	50.78	1.7980	2	0.3
