H	K	L	2THETA	D-VALUE	MULT	INTENSITY
0	0	1	12.20	7.2539	2	1000.0
1	-1	0	19.24	4.6131	2	153.7
1	0	0	19.24	4.6131	2	153.7
0	1	0	19.24	4.6131	2	521.6
0	1	-1	22.85	3.8926	2	39.6
1	0	-1	22.85	3.8926	2	302.5
1	-1	1	22.85	3.8926	2	167.1
1	-1	-1	22.85	3.8926	2	302.5
0	1	1	22.85	3.8926	2	39.6
1	0	1	22.85	3.8926	2	167.1
0	0	2	24.54	3.6269	2	602.6
1	-1	2	31.37	2.8512	2	93.8
1	-1	-2	31.37	2.8512	2	4.7
0	1	-2	31.37	2.8512	2	87.3
1	0	-2	31.37	2.8512	2	4.7
0	1	2	31.37	2.8512	2	87.3
1	0	2	31.37	2.8512	2	93.8
2	-1	0	33.65	2.6634	2	30.7
1	-2	0	33.65	2.6634	2	30.7
1	1	0	33.65	2.6633	2	30.7
1	1	-1	35.92	2.5002	2	361.5
2	-1	1	35.92	2.5002	2	361.5
2	-1	-1	35.92	2.5002	2	114.7
1	-2	-1	35.92	2.5002	2	361.5
1	-2	1	35.92	2.5002	2	114.8
1	1	1	35.92	2.5002	2	114.8
0	0	3	37.18	2.4180	2	84.2
2	-2	0	39.05	2.3065	2	24.5
0	2	0	39.05	2.3065	2	0.4
2	0	0	39.05	2.3065	2	24.5
2	-2	-1	41.06	2.1981	2	5.2
2	-2	1	41.06	2.1981	2	12.6
2	0	-1	41.06	2.1981	2	5.2
0	2	-1	41.06	2.1981	2	34.1
0	2	1	41.06	2.1981	2	34.1
2	0	1	41.06	2.1981	2	12.6
1	-2	2	42.09	2.1467	2	20.3
1	1	-2	42.09	2.1467	2	152.4
2	-1	-2	42.09	2.1467	2	20.3
2	-1	2	42.09	2.1467	2	152.4
1	1	2	42.09	2.1467	2	20.3
1	-2	-2	42.09	2.1467	2	152.4
1	0	-3	42.20	2.1416	2	34.8
1	-1	3	42.20	2.1416	2	1.5
0	1	-3	42.20	2.1416	2	24.2
1	-1	-3	42.20	2.1416	2	34.8
1	0	3	42.20	2.1416	2	1.5
0	1	3	42.20	2.1416	2	24.2
0	2	-2	46.67	1.9463	2	1.3
2	0	-2	46.67	1.9463	2	27.8
2	-2	-2	46.67	1.9463	2	27.8
2	-2	2	46.67	1.9463	2	23.0
0	2	2	46.67	1.9463	2	1.3
2	0	2	46.67	1.9463	2	23.0
0	0	4	50.31	1.8135	2	31.1
1	-2	3	51.01	1.7902	2	6.4
2	-1	-3	51.01	1.7902	2	6.4
1	1	3	51.01	1.7902	2	6.4
1	1	-3	51.01	1.7902	2	97.0
2	-1	3	51.01	1.7902	2	97.0
1	-2	-3	51.01	1.7902	2	97.0
3	-2	0	52.48	1.7436	2	24.9
2	-3	0	52.48	1.7436	2	7.0
1	-3	0	52.48	1.7436	2	7.1
3	-1	0	52.48	1.7436	2	24.9
2	1	0	52.48	1.7436	2	7.0
1	2	0	52.48	1.7436	2	7.1
2	-3	-1	54.10	1.6953	2	10.7
2	-3	1	54.10	1.6953	2	20.6
3	-2	1	54.10	1.6953	2	2.5
3	-2	-1	54.10	1.6953	2	2.5
3	-1	1	54.10	1.6953	2	2.5
1	2	1	54.10	1.6953	2	10.8
1	2	-1	54.10	1.6953	2	20.6
3	-1	-1	54.10	1.6953	2	2.5
2	1	1	54.10	1.6953	2	20.6
1	-3	1	54.10	1.6953	2	10.8
2	1	-1	54.10	1.6953	2	10.7
1	-3	-1	54.10	1.6953	2	20.6
1	0	-4	54.36	1.6877	2	6.2
0	1	-4	54.36	1.6877	2	1.0
1	-1	4	54.36	1.6877	2	12.3
1	-1	-4	54.36	1.6877	2	6.2
0	1	4	54.36	1.6877	2	1.0
1	0	4	54.36	1.6877	2	12.3
2	0	-3	55.02	1.6690	2	10.0
